_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1596,1596,3485,Albar Street - 49,Hamilton Rd,Albar St,504807.7848,6970465.046,-27.3891106,153.0486266,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Easy,Medium,11/15/2019 12:00:00 AM,504807.7848,6970465.046
1597,1597,3486,Wavell Heights North,Hamilton Rd,Bilsen Rd,505149.2502,6970273.584,-27.39083789,153.0520811,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Medium,Medium,9/27/2019 12:00:00 AM,505149.2502,6970273.584
1598,1598,3491,Strathpine/Lucy,Strathpine Rd,Lucy St,500893.8577,6978404.852,-27.3174371,153.0090348,BALD HILLS,2 - Intermediate,Y,Easy,Easy,Medium,3/1/2019 0:00,500893.8577,6978404.852
1599,1599,3492,Enviro Centre - 36,Nudgee Rd,Chaseley St,510413.814,6974892.511,-27.3491077,153.1052889,NUDGEE BEACH,2 - Intermediate,N,Medium,Easy,Easy,,510413.814,6974892.511
1600,1600,3493,Enviro Centre - 36,Nudgee Rd,Chaseley St,510392.802,6974963.891,-27.34846344,153.1050759,NUDGEE BEACH,4 - Regular,N,Hard,Easy,Hard,,510392.802,6974963.891
1601,1601,3494,O'Quinn Street - 37,O'Quinn St,Nudgee Rd,510431.1478,6975089.125,-27.34733251,153.1054625,NUDGEE BEACH,3 - Regular with seat,Y,Easy,Easy,Medium,5/22/2017 12:00:00 AM,510431.1478,6975089.125
1602,1602,3495,O'Quinn Street - 37,O'Quinn St,Nudgee Rd,510396.7,6975101,-27.34722557,153.1051141,NUDGEE BEACH,3 - Regular with seat,Y,Easy,Easy,Easy,5/22/2017 12:00:00 AM,510396.7,6975101
1603,1603,3496,Chaseley Street - 38,O'Quinn St,Chaseley St,510304.2795,6975174.676,-27.34656111,153.1041791,NUDGEE BEACH,3 - Regular with seat,Y,Easy,Easy,Easy,9/3/2019 0:00,510304.2795,6975174.676
1604,1604,3500,Parkland - 32-38,Childs Rd,Nudgee Rd,509345.8505,6972371.223,-27.37187791,153.0945106,NUDGEE,4 - Regular,Y,Easy,Easy,Easy,4/18/2019 12:00:00 AM,509345.8505,6972371.223
1605,1605,3501,Childs Road - 38,St Vincents Rd,Childs Rd,508896.1512,6972932.448,-27.36681412,153.0899589,NUDGEE,2 - Intermediate,Y,Easy,Medium,Easy,5/22/2017 12:00:00 AM,508896.1512,6972932.448
1606,1606,3502,Childs Road - 38,St Vincents Rd,Boonal St,508999.0491,6973026.184,-27.36596719,153.0909987,NUDGEE,4 - Regular,Y,Easy,Easy,Easy,2/17/2023 12:00:00 AM,508999.0491,6973026.184
1607,1607,3504,St Vincents Road - 39a,St Vincents Rd,Queens Rd,509175.8096,6973143.448,-27.36490733,153.0927853,NUDGEE,2 - Intermediate,Y,Easy,Easy,Easy,,509175.8096,6973143.448
1608,1608,3505,Hayden Street - 37,St Vincents Rd,Hayden St,508660.1062,6972770.879,-27.3682743,153.0875732,NUDGEE,2 - Intermediate,N,Hard,Easy,Easy,,508660.1062,6972770.879
1609,1609,3506,Hayden Street - 37,St Vincents Rd,Hayden St,508675.9727,6972766.776,-27.36831124,153.0877336,NUDGEE,2 - Intermediate,Y,Easy,Easy,Medium,9/3/2019 0:00,508675.9727,6972766.776
1610,1610,3507,Oakmere Street - 36,St Vincents Rd,Oakmere St,508532.3058,6972659.143,-27.36928387,153.0862816,NUDGEE,2 - Intermediate,Y,Easy,Easy,Easy,5/22/2017 12:00:00 AM,508532.3058,6972659.143
1611,1611,3508,Oakmere Street - 36,St Vincents Rd,Oakmere St,508513.7594,6972661.008,-27.36926715,153.086094,NUDGEE,4 - Regular,N,Hard,Easy,Easy,,508513.7594,6972661.008
1612,1612,3509,Petunia Street - 35,St Vincents Rd,Petuina St,508371.2818,6972538.166,-27.37037706,153.0846541,NUDGEE,2 - Intermediate,Y,Easy,Easy,Easy,5/22/2017 12:00:00 AM,508371.2818,6972538.166
1613,1613,3510,Petunia Street - 35,St Vincents Rd,Petunia St,508344.8411,6972533.476,-27.37041956,153.0843867,NUDGEE,4 - Regular,Y,Easy,Easy,Medium,9/17/2019 12:00:00 AM,508344.8411,6972533.476
1614,1614,3511,Hilltop - 34,St Vincents Rd,Redhill Rd,508154.6825,6972375.029,-27.37185119,153.0824648,NUDGEE,2 - Intermediate,Y,Easy,Easy,Medium,11/16/2018 12:00:00 AM,508154.6825,6972375.029
1615,1615,3512,Hilltop - 34,St Vincents Rd,Redhill Rd,508151.3892,6972388.286,-27.37173152,153.0824314,NUDGEE,3 - Regular with seat,Y,Easy,Easy,Medium,9/17/2019 12:00:00 AM,508151.3892,6972388.286
1616,1616,3513,Overlea Street - 33b,Redhill Rd,Langton St,508272.63,6972174.632,-27.37365969,153.083659,NUDGEE,2 - Intermediate,Y,Easy,Easy,Easy,5/22/2017 12:00:00 AM,508272.63,6972174.632
1617,1617,3514,Red Hill Road - 33A,Redhill Rd,Langton St,508291.5727,6972133.585,-27.37403015,153.0838508,NUDGEE,4 - Regular,Y,Easy,Easy,Easy,3/23/2018 12:00:00 AM,508291.5727,6972133.585
1618,1618,3515,Red Hill Road - 33A,Redhill Rd,Earnshaw Rd,508489.3327,6971885.514,-27.37626854,153.0858524,NUDGEE,3 - Regular with seat,N,Hard,Easy,Easy,,508489.3327,6971885.514
1619,1619,3517,Approach Road - 30,Approach Rd,Kilcooly St,508715.0636,6971450.579,-27.38019375,153.0881383,BANYO,3 - Regular with seat,Y,Easy,Easy,Medium,5/22/2017 12:00:00 AM,508715.0636,6971450.579
1620,1620,3518,Approach Road - 31,Approach Rd,Mellifont St,508916.3339,6971227.164,-27.38220947,153.0901755,BANYO,2 - Intermediate,Y,Easy,Medium,Medium,5/19/2017 12:00:00 AM,508916.3339,6971227.164
1621,1621,3520,Rossa Street - 23,Tufnell Rd,Rossa St,508527.7023,6970866.041,-27.3854722,153.0862476,BANYO,3 - Regular with seat,Y,Easy,Easy,Easy,7/12/2018 0:00,508527.7023,6970866.041
1622,1622,3521,Rossa Street - 23,Tufnell Rd,Rossa St,508500.3825,6970876.968,-27.38537372,153.0859712,BANYO,2 - Intermediate,Y,Easy,Easy,Easy,5/22/2017 12:00:00 AM,508500.3825,6970876.968
